2025-04-08 21:52:48.235 [info] Starting Python Locator /home/albert/.cursor/extensions/ms-python.python-2024.12.3-linux-x64/python-env-tools/bin/pet server
2025-04-08 21:52:48.235 [info] Discovered env: /bin/python3
2025-04-08 21:52:48.235 [info] Discovered env: /usr/bin/python3
2025-04-08 21:52:48.235 [info] Locator Conda took 92.680786ms
2025-04-08 21:52:48.235 [info] Locator Homebrew took 108.461µs
2025-04-08 21:52:48.235 [info] Locator LinuxGlobal took 124.820161ms
2025-04-08 21:52:48.235 [info] Locator PipEnv took 32.414µs
2025-04-08 21:52:48.235 [info] Locator Poetry took 6.530827ms
2025-04-08 21:52:48.235 [info] Locator PyEnv took 6.821394ms
2025-04-08 21:52:48.235 [info] Locator Venv took 31.397µs
2025-04-08 21:52:48.235 [info] Locator VirtualEnv took 33.476µs
2025-04-08 21:52:48.235 [info] Locator VirtualEnvWrapper took 1.379242ms
2025-04-08 21:52:48.235 [info] Locator GlobalVirtualEnvs took 1.690524ms
2025-04-08 21:52:48.235 [info] Locator Locators took 129.386993ms
2025-04-08 21:52:48.235 [info] Locator Path took 275.261024ms
2025-04-08 21:52:48.235 [info] Locator Workspaces took 14.492485ms
2025-04-08 21:52:48.235 [info] Refresh completed in 276ms
