2025-04-23 17:22:18.372 [info] Starting Python Locator /home/albert/.cursor/extensions/ms-python.python-2024.12.3-linux-x64/python-env-tools/bin/pet server
2025-04-23 17:22:18.559 [info] Discovered env: /usr/bin/python2
2025-04-23 17:22:18.581 [info] Discovered env: /bin/python2
2025-04-23 17:22:18.583 [info] Discovered env: /usr/bin/python3
2025-04-23 17:22:18.613 [info] Discovered env: /bin/python3
2025-04-23 17:22:18.867 [info] Locator Conda took 163.817911ms
2025-04-23 17:22:18.867 [info] Locator Homebrew took 488.82µs
2025-04-23 17:22:18.867 [info] Locator LinuxGlobal took 275.466511ms
2025-04-23 17:22:18.867 [info] Locator PipEnv took 19.534µs
2025-04-23 17:22:18.867 [info] Locator Poetry took 1.516684ms
2025-04-23 17:22:18.867 [info] Locator PyEnv took 1.216478ms
2025-04-23 17:22:18.868 [info] Locator Venv took 18.88µs
2025-04-23 17:22:18.868 [info] Locator VirtualEnv took 57.814µs
2025-04-23 17:22:18.868 [info] Locator VirtualEnvWrapper took 42.088µs
2025-04-23 17:22:18.868 [info] Locator GlobalVirtualEnvs took 182.783µs
2025-04-23 17:22:18.868 [info] Locator Locators took 277.648119ms
2025-04-23 17:22:18.868 [info] Locator Path took 534.213509ms
2025-04-23 17:22:18.868 [info] Locator Workspaces took 2.242µs
2025-04-23 17:22:18.868 [info] Refresh completed in 536ms
