2025-04-24 18:35:38.790 [info] Starting Python Locator /home/albert/.cursor/extensions/ms-python.python-2024.12.3-linux-x64/python-env-tools/bin/pet server
2025-04-24 18:35:39.291 [info] Discovered env: /bin/python2
2025-04-24 18:35:39.294 [info] Discovered env: /usr/bin/python2
2025-04-24 18:35:39.309 [info] Discovered env: /bin/python3
2025-04-24 18:35:39.309 [info] Discovered env: /usr/bin/python3
2025-04-24 18:35:39.311 [info] Locator Conda took 188.289402ms
2025-04-24 18:35:39.311 [info] Locator Homebrew took 108.924µs
2025-04-24 18:35:39.311 [info] Locator LinuxGlobal took 293.169202ms
2025-04-24 18:35:39.311 [info] Locator PipEnv took 1.173135ms
2025-04-24 18:35:39.312 [info] Locator Poetry took 3.609857ms
2025-04-24 18:35:39.312 [info] Locator PyEnv took 9.702039ms
2025-04-24 18:35:39.312 [info] Locator Venv took 42.688µs
2025-04-24 18:35:39.312 [info] Locator VirtualEnv took 243.774µs
2025-04-24 18:35:39.312 [info] Locator VirtualEnvWrapper took 73.304µs
2025-04-24 18:35:39.312 [info] Locator GlobalVirtualEnvs took 182.139µs
2025-04-24 18:35:39.312 [info] Locator Locators took 308.327245ms
2025-04-24 18:35:39.312 [info] Locator Path took 749.257391ms
2025-04-24 18:35:39.312 [info] Locator Workspaces took 57.385067ms
2025-04-24 18:35:39.312 [info] Refresh completed in 749ms
