"Date","Heading","Keyword","Website"
"2023-03-15","=HYPERLINK(""https://app.parr-global.com/intelligence/view/intelcms-7v92rt"",""UK truck cartel damages award boon for claimants elsewhere, with ‘low’ overcharge – Analytics"")","cartel","parr-global"
"2023-03-15","=HYPERLINK(""https://app.parr-global.com/intelligence/view/intelcms-bvnhcx"",""French court rejects Carrefour damages claim against L’Oréal as time-barred"")","damages","parr-global"
"2023-03-15","=HYPERLINK(""https://app.parr-global.com/intelligence/view/intelcms-43pzw3"",""Austrian agency seeks EUR 4.8m fine in construction bid-rigging probe, confirmation of leniency applicant's involvement"")","fine","parr-global"
"2023-03-15","=HYPERLINK(""https://app.parr-global.com/intelligence/view/intelcms-4r6p7z"",""DSME/Hanwha Group approved by Turkish antitrust watchdog - report (translated)"")","antitrust","parr-global"
"2023-03-15","=HYPERLINK(""https://app.parr-global.com/intelligence/view/intelcms-jfdbxr"",""UK CAT rules Which? argument should be struck out in collective damages suit against Qualcomm"")","damages","parr-global"
"2023-03-14","=HYPERLINK(""https://www.juve.de/verfahren/oppenlaender-erstreitet-fuer-die-bvg-schadensersatz-vom-schienenkartell/"",""Oppenländer erstreitet für die BVG Schadensersatz vom Schienenkartell"")","Kartell","Juve, Verfahren"
"2023-03-14","=HYPERLINK(""https://www.lto.de/recht/kanzleien-unternehmen/k/kapitalanleger-musterverfahren-kapmug-klage-aktie-verluste-bayoblg-101kap122-ey-braun-wirecard/"",""Schadensersatz für geschädigte Anleger?:Must­er­kläger im KapMuG-Ver­fahren zu Wire­card steht fest"")","Schaden","lto"
"2023-03-14","=HYPERLINK(""https://www.lto.de/recht/nachrichten/n/brgermeisterin-schadensersatz-diskriminierung-stadt-mllheim/"",""VG Freiburg spricht 50.000 Euro Schadensersatz zu:Ex-Bür­ger­meis­terin sch­lechter besoldet als männ­liche Kol­legen"")","Schaden","lto"
"2023-03-14","=HYPERLINK(""https://www.lto.de/recht/nachrichten/n/letzte-generation-geldstrafe-noetigung-anzeige-festkleben-gerichtssaal/"",""Geld­strafe und Anzeige nach Klebe-Aktion im Gericht"")","strafe","lto"
"2023-03-14","=HYPERLINK(""https://www.lto.de/recht/nachrichten/n/bgh-3str246-22-strafausspruch-is-rueckkehrerin-tod-jesidin-aufgehoben/"",""IS-Rück­keh­rerin Jen­nifer W. droht höhere Strafe"")","strafe","lto"
